Team Member,Architect,Estimator,Field Engineer,General Foreman,Interior Designer,Investors,Laborers/Tradesmen,Landscaper,Lawyer,Owner,Project Engineer,Realitor,Safety Inspectors,Site Supervisor,Supplier
Architect,n/a,5,1,3,4,4,4,3,1,2,5,1,3,1,4
Estimator,5,n/a,1,2,3,4,2,2,5,2,3,1,4,3,2
Field Engineer,1,1,n/a,1,5,3,1,4,1,2,4,5,2,1,4
General Foreman,3,2,1,n/a,2,4,5,4,4,2,5,1,2,2,4
Interior Designer,3,4,5,2,n/a,5,2,3,1,5,2,5,1,1,4
Investors,4,4,3,4,5,n/a,4,2,1,4,3,4,3,1,5
Laborers/Tradesmen,4,2,1,5,2,4,n/a,2,2,2,4,2,2,1,5
Landscaper,3,2,4,4,3,2,2,n/a,1,1,1,3,2,2,3
Lawyer,1,5,1,4,1,1,2,1,n/a,1,1,1,1,3,1
Owner,2,2,2,2,5,4,2,1,1,n/a,1,5,4,1,3
Project Engineer,5,3,4,5,2,3,4,1,1,1,n/a,2,3,5,3
Realitor,1,1,5,1,5,4,2,3,1,5,2,n/a,3,1,4
Safety Inspectors,3,4,2,2,1,3,2,2,1,4,3,3,n/a,4,2
Site Supervisor,1,3,1,2,1,1,1,2,3,1,5,1,4,n/a,1
Supplier,4,2,4,4,4,5,3,3,1,3,3,4,2,1,n/a
