Team Member,Architect,Estimator,Field Engineer,General Foreman,Interior Designer,Investors,Laborers/Tradesmen,Landscaper,Lawyer,Owner,Project Engineer,Realitor,Safety Inspectors,Site Supervisor,Supplier
Architect,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Estimator,5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Field Engineer,1,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
General Foreman,3,2,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Interior Designer,3,4,5,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Investors,4,4,3,4,5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Laborers/Tradesmen,4,2,1,5,2,4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Landscaper,3,2,4,4,3,2,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Lawyer,1,5,1,4,1,1,2,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Owner,2,2,2,2,5,4,2,1,1,n/a,n/a,n/a,n/a,n/a,n/a
Project Engineer,5,3,4,5,2,3,4,1,1,1,n/a,n/a,n/a,n/a,n/a
Realitor,1,1,5,1,5,4,2,3,1,5,2,n/a,n/a,n/a,n/a
Safety Inspectors,3,4,2,2,1,3,2,2,1,4,3,3,n/a,n/a,n/a
Site Supervisor,1,3,1,2,1,1,1,2,3,1,5,1,4,n/a,n/a
Supplier,4,2,4,4,4,5,3,3,1,3,3,4,2,1,n/a
