Team Member,Architect,BIM Engineer,Equipment Operator,Estimator,Field Engineer,General Foreman,Interior Designer,Investors,Laborers/Tradesmen,Landscaper,Lawyer,LEED Professional,Owner,Project Engineer,Project Manager(You),Realitor,Safety Inspectors,Site Supervisor,Structural Engineer,Supplier,Utility Expert
Architect,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
BIM Engineer,5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Equipment Operator,1,5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Estimator,2,2,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Field Engineer,5,3,1,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
General Foreman,3,4,1,5,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Interior Designer,4,4,1,4,3,5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Investors,3,2,1,1,1,3,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Laborers/Tradesmen,1,1,1,5,2,5,4,3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Landscaper,4,2,2,2,4,2,4,4,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Lawyer,3,4,1,4,3,1,3,2,3,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
LEED Professional,1,1,1,1,1,4,2,4,5,1,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Owner,1,1,1,2,4,5,3,4,5,1,2,5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Project Engineer,1,3,3,1,5,1,1,2,1,1,4,1,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Project Manager(You),4,2,1,3,3,4,5,3,4,3,2,4,4,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Realitor,4,1,1,1,1,2,4,1,2,2,1,1,1,1,2,n/a,n/a,n/a,n/a,n/a,n/a
Safety Inspectors,5,1,1,1,1,2,4,1,1,3,1,1,2,1,3,5,n/a,n/a,n/a,n/a,n/a
Site Supervisor,4,1,1,1,4,1,3,5,1,4,2,1,1,3,1,3,1,n/a,n/a,n/a,n/a
Structural Engineer,3,1,1,1,1,4,3,4,4,1,1,4,4,1,4,3,3,3,n/a,n/a,n/a
Supplier,3,2,4,2,5,2,4,4,1,5,2,1,1,2,4,5,2,3,2,n/a,n/a
Utility Expert,3,2,4,2,5,2,4,4,1,5,2,1,1,2,4,5,2,3,2,1,n/a
